x, y
11.175874391155025, 4.785471290535384
18.36143238562981, 1.9162063925286834
26.00898860786619, 5.098824198993649
28.10909111969559, 14.621066111319509
28.0797275617822, 25.558925868915647
27.1098614063233, 26.1703035869045
26.063024504381367, 26.698637933487692
25.07752095121711, 27.136167845917033
24.00896544135107, 27.51781810655939
23.022766892733245, 27.89073717161003
22.02353717936095, 28.139091179552185
20.993032670577946, 28.35640093650157
19.95453571407887, 28.55256179746213
18.796499539565513, 28.698857830265556
17.74306018081465, 28.757841907151818
16.47886345076826, 28.672276190352996
15.16480079692812, 28.581471756199146
13.878190463504051, 28.33699827963109
12.572294006243375, 28.075256438448303
11.457173800988052, 27.761321450283923
10.363598454793442, 27.414401945439728
9.30842160740865, 27.06709438745812
8.331605497414037, 26.621415359143178
7.505082154254241, 26.180392968477147
3.7001557948141754, 22.61263242313314
3.076397375233837, 21.87940601999767
2.6731262632990274, 21.049748412215912
2.4208429136526064, 19.974841221591277
1.7086463226053064, 13.769289474705403
5.385693518588233, 12.718441578600162
5.385693518588233, 12.718441578600162
6.804005490464083, 11.844157860016297
8.378170192803323, 10.71550530986043
12.63345360615766, 7.158028172657776
